Size,Algorithm,DataType,Comparisons,Time_ms
1200,StandardMergeSort,AlmostSorted,11639,38.222
1200,StandardMergeSort,Prefix,90203,54.708
1200,StandardQuickSort,Random,17204,0.370
1200,StandardQuickSort,Reversed,729067,14.132
1200,StandardQuickSort,AlmostSorted,185973,4.204
1200,StandardQuickSort,Prefix,119068,0.795
1200,TernaryQuickSort,Random,11918,0.312
1200,TernaryQuickSort,Reversed,11587,0.224
1200,TernaryQuickSort,AlmostSorted,12675,0.268
1200,TernaryQuickSort,Prefix,20480,0.322
1200,LCPMergeSort,Random,14556,36.989
1200,LCPMergeSort,Reversed,8507,44.911
1200,LCPMergeSort,AlmostSorted,11639,45.231
1200,LCPMergeSort,Prefix,90203,57.622
1200,MSDRadixSort,Random,2644,43.056
1200,MSDRadixSort,Reversed,2644,62.010
1200,MSDRadixSort,AlmostSorted,2621,33.556
1200,MSDRadixSort,Prefix,11043,232.782
1200,MSDRadixSort+QuickSort,Random,4945,28.490
1200,MSDRadixSort+QuickSort,Reversed,4971,29.064
1200,MSDRadixSort+QuickSort,AlmostSorted,4990,22.083
1200,MSDRadixSort+QuickSort,Prefix,13422,250.148
1300,StandardMergeSort,Random,16011,29.053
1300,StandardMergeSort,Reversed,9434,29.295
1300,StandardMergeSort,AlmostSorted,12510,33.007
1300,StandardMergeSort,Prefix,98891,38.556
1300,StandardQuickSort,Random,19949,0.397
1300,StandardQuickSort,Reversed,855672,16.811
1300,StandardQuickSort,AlmostSorted,276194,6.203
1300,StandardQuickSort,Prefix,115541,0.761
1300,TernaryQuickSort,Random,12508,0.253
1300,TernaryQuickSort,Reversed,13028,0.237
1300,TernaryQuickSort,AlmostSorted,13168,0.259
1300,TernaryQuickSort,Prefix,21875,0.316
1300,LCPMergeSort,Random,16011,29.835
1300,LCPMergeSort,Reversed,9434,33.181
1300,LCPMergeSort,AlmostSorted,12510,48.834
1300,LCPMergeSort,Prefix,98891,48.700
1300,MSDRadixSort,Random,2884,45.052
1300,MSDRadixSort,Reversed,2867,31.434
1300,MSDRadixSort,AlmostSorted,2891,35.133
1300,MSDRadixSort,Prefix,11961,250.010
1300,MSDRadixSort+QuickSort,Random,5664,38.730
1300,MSDRadixSort+QuickSort,Reversed,5725,38.687
1300,MSDRadixSort+QuickSort,AlmostSorted,5620,54.772
1300,MSDRadixSort+QuickSort,Prefix,14839,354.877
1400,StandardMergeSort,Random,17520,30.979
1400,StandardMergeSort,Reversed,10214,32.728
1400,StandardMergeSort,AlmostSorted,13798,37.002
1400,StandardMergeSort,Prefix,107686,43.031
1400,StandardQuickSort,Random,20042,0.675
1400,StandardQuickSort,Reversed,992473,26.371
1400,StandardQuickSort,AlmostSorted,383045,8.968
1400,StandardQuickSort,Prefix,139702,1.757
1400,TernaryQuickSort,Random,15378,0.421
1400,TernaryQuickSort,Reversed,13885,0.288
1400,TernaryQuickSort,AlmostSorted,14093,0.291
1400,TernaryQuickSort,Prefix,23431,0.499
1400,LCPMergeSort,Random,17520,57.717
1400,LCPMergeSort,Reversed,10214,57.579
1400,LCPMergeSort,AlmostSorted,13798,57.049
